name,url,description,duration,adaptive_support,remote_support,test_type
"Java Programming Assessment","https://www.shl.com/assessments/java-programming","Comprehensive assessment of Java programming skills including object-oriented programming concepts, data structures, algorithms, and best practices. Evaluates coding ability, debugging skills, and software development knowledge.",45,Yes,Yes,"Knowledge & Skills"
"Leadership Potential Assessment","https://www.shl.com/assessments/leadership-potential","Measures leadership capabilities including strategic thinking, decision-making, team management, and communication skills. Identifies individuals with high potential for leadership roles.",30,Yes,Yes,"Personality & Behavior"
"Cognitive Ability Test","https://www.shl.com/assessments/cognitive-ability","Evaluates cognitive abilities including logical reasoning, problem-solving, pattern recognition, and analytical thinking. Measures general intelligence and learning capacity.",25,No,Yes,"Ability & Aptitude"
"Python Developer Skills Test","https://www.shl.com/assessments/python-developer","Assesses Python programming expertise including syntax, libraries, frameworks, data manipulation, and web development. Tests practical coding skills and best practices.",40,Yes,Yes,"Knowledge & Skills"
"Communication Skills Assessment","https://www.shl.com/assessments/communication-skills","Evaluates written and verbal communication abilities, presentation skills, active listening, and interpersonal communication effectiveness in professional settings.",35,No,Yes,"Personality & Behavior"
"Numerical Reasoning Test","https://www.shl.com/assessments/numerical-reasoning","Tests ability to work with numerical data, interpret graphs and charts, perform calculations, and draw logical conclusions from quantitative information.",30,No,Yes,"Ability & Aptitude"
"Customer Service Excellence","https://www.shl.com/assessments/customer-service","Measures customer service skills including empathy, problem-solving, conflict resolution, and ability to maintain positive customer relationships.",25,Yes,Yes,"Personality & Behavior"
"Software Engineering Fundamentals","https://www.shl.com/assessments/software-engineering","Comprehensive assessment of software engineering principles including system design, architecture patterns, testing methodologies, and development lifecycle management.",50,Yes,Yes,"Knowledge & Skills"
"Team Collaboration Assessment","https://www.shl.com/assessments/team-collaboration","Evaluates teamwork skills, collaboration abilities, conflict resolution, and effectiveness in group settings. Measures interpersonal skills and team dynamics.",20,Yes,Yes,"Personality & Behavior"
"Data Analysis & SQL Skills","https://www.shl.com/assessments/data-analysis-sql","Tests data analysis capabilities including SQL querying, data manipulation, statistical analysis, and interpretation of business intelligence reports.",35,Yes,Yes,"Knowledge & Skills"
"Project Management Competency","https://www.shl.com/assessments/project-management","Assesses project management skills including planning, resource allocation, risk management, stakeholder communication, and delivery execution.",40,Yes,Yes,"Knowledge & Skills|Personality & Behavior"
"Abstract Reasoning Test","https://www.shl.com/assessments/abstract-reasoning","Measures ability to identify patterns, logical sequences, and relationships in abstract visual information. Tests non-verbal reasoning and problem-solving abilities.",20,No,Yes,"Ability & Aptitude"
"Sales Performance Indicator","https://www.shl.com/assessments/sales-performance","Evaluates sales aptitude including persuasion skills, relationship building, goal orientation, resilience, and customer needs identification.",30,Yes,Yes,"Personality & Behavior"
"Technical Architecture Assessment","https://www.shl.com/assessments/technical-architecture","Advanced assessment of system architecture knowledge including design patterns, scalability, security, and technology stack selection for enterprise solutions.",60,Yes,Yes,"Knowledge & Skills"
"Emotional Intelligence Test","https://www.shl.com/assessments/emotional-intelligence","Measures emotional intelligence including self-awareness, empathy, emotion regulation, social skills, and ability to work effectively with others.",25,Yes,Yes,"Personality & Behavior"